Subject,DataFile.Basename,formalExp,formalExpmovie.RESP,formalExpmovie.RT,keypress1answer,KeyPress1RESP,Keypress1RT,keypress2answer,KeyPress2RESP,Keypress2RT,movie1,Parray,Aarray
3,try-03-1,1,p{ENTER},41824,q,p,33745,p,{ENTER},41824,P+A+B+.avi,p,p
17,try-017-1,1,qp,34020,q,q,29158,p,p,34020,P+A+B+.avi,p,p
17,try-017-1,1,qp,34659,q,q,28867,p,p,34659,P+A+B+.avi,p,p
17,try-017-1,1,qp,33876,q,q,28694,p,p,33876,P+A+B+.avi,p,p
17,try-017-1,1,qp,34741,q,q,28522,p,p,34741,P+A+B+.avi,p,p
17,try-017-1,1,qp,34909,q,q,28865,p,p,34909,P+A+B+.avi,p,p
1,try-01-1,1,qp,33884,q,q,28819,p,p,33884,P+A+B+.avi,p,p
1,try-01-1,1,qp,34001,q,q,28710,p,p,34001,P+A+B+.avi,p,p
1,try-01-1,1,qp,33591,q,q,29145,p,p,33591,P+A+B+.avi,p,p
1,try-01-1,1,qp,33473,q,q,28996,p,p,33473,P+A+B+.avi,p,p
1,try-01-1,1,qp,33703,q,q,29124,p,p,33703,P+A+B+.avi,p,p
10,try-10-1,1,qp,33359,q,q,27981,p,p,33359,P+A+B+.avi,p,p
10,try-10-1,1,qp,33473,q,q,28109,p,p,33473,P+A+B+.avi,p,p
10,try-10-1,1,qp,33637,q,q,28039,p,p,33637,P+A+B+.avi,p,p
10,try-10-1,1,qp,33382,q,q,28128,p,p,33382,P+A+B+.avi,p,p
10,try-10-1,1,qp,33360,q,q,27994,p,p,33360,P+A+B+.avi,p,p
11,try-11-1,1,qp,33530,q,q,28240,p,p,33530,P+A+B+.avi,p,p
11,try-11-1,1,qp,33412,q,q,28254,p,p,33412,P+A+B+.avi,p,p
11,try-11-1,1,qp,34275,q,q,28508,p,p,34275,P+A+B+.avi,p,p
11,try-11-1,1,qp,33652,q,q,28536,p,p,33652,P+A+B+.avi,p,p
11,try-11-1,1,qp,33349,q,q,28635,p,p,33349,P+A+B+.avi,p,p
12,try-12-1,1,qp,34143,q,q,27621,p,p,34143,P+A+B+.avi,p,p
12,try-12-1,1,qp,33434,q,q,28214,p,p,33434,P+A+B+.avi,p,p
12,try-12-1,1,qp,33293,q,q,28004,p,p,33293,P+A+B+.avi,p,p
12,try-12-1,1,qp,33331,q,q,28174,p,p,33331,P+A+B+.avi,p,p
12,try-12-1,1,qp,33397,q,q,28013,p,p,33397,P+A+B+.avi,p,p
13,try-13-1,1,qp,33420,q,q,28103,p,p,33420,P+A+B+.avi,p,p
13,try-13-1,1,qp,33626,q,q,28471,p,p,33626,P+A+B+.avi,p,p
13,try-13-1,1,qp,33331,q,q,28141,p,p,33331,P+A+B+.avi,p,p
13,try-13-1,1,qp,33375,q,q,28145,p,p,33375,P+A+B+.avi,p,p
13,try-13-1,1,qp,33419,q,q,28151,p,p,33419,P+A+B+.avi,p,p
14,try-14-1,1,qp,33362,q,q,28272,p,p,33362,P+A+B+.avi,p,p
14,try-14-1,1,qp,33400,q,q,28257,p,p,33400,P+A+B+.avi,p,p
14,try-14-1,1,qp,33624,q,q,28264,p,p,33624,P+A+B+.avi,p,p
14,try-14-1,1,qp,33637,q,q,28204,p,p,33637,P+A+B+.avi,p,p
14,try-14-1,1,qp,33432,q,q,28241,p,p,33432,P+A+B+.avi,p,p
15,try-15-1,1,qp,33595,q,q,28440,p,p,33595,P+A+B+.avi,p,p
15,try-15-1,1,qp,33910,q,q,28405,p,p,33910,P+A+B+.avi,p,p
15,try-15-1,1,qp,33561,q,q,28426,p,p,33561,P+A+B+.avi,p,p
15,try-15-1,1,qp,33684,q,q,28495,p,p,33684,P+A+B+.avi,p,p
15,try-15-1,1,qp,33532,q,q,28309,p,p,33532,P+A+B+.avi,p,p
16,try-16-1,1,qp,33470,q,q,28193,p,p,33470,P+A+B+.avi,p,p
16,try-16-1,1,qp,33900,q,q,28258,p,p,33900,P+A+B+.avi,p,p
16,try-16-1,1,qp,33573,q,q,28277,p,p,33573,P+A+B+.avi,p,p
16,try-16-1,1,qp,33416,q,q,28290,p,p,33416,P+A+B+.avi,p,p
16,try-16-1,1,qp,33559,q,q,28501,p,p,33559,P+A+B+.avi,p,p
18,try-18-1,1,qp,33861,q,q,28441,p,p,33861,P+A+B+.avi,p,p
18,try-18-1,1,qp,33773,q,q,28371,p,p,33773,P+A+B+.avi,p,p
18,try-18-1,1,qp,33545,q,q,28428,p,p,33545,P+A+B+.avi,p,p
18,try-18-1,1,qp,33741,q,q,28317,p,p,33741,P+A+B+.avi,p,p
18,try-18-1,1,qp,33927,q,q,28377,p,p,33927,P+A+B+.avi,p,p
